Date,LHD,Rainfall,Tmean,Tmax,Tmin,Elevation,Floodwave,Salmonella,Population,Incidence
1991-01-01,Central Coast,126.5,23.8,26.99,21.16,44,5,1,239830,0.416962015
1991-02-01,Central Coast,13.2,23.08,25.99,20.81,44,0,1,239830,0.416962015
1991-03-01,Central Coast,25,21.35,24.61,18.6,44,0,3,239830,1.250886044
1991-04-01,Central Coast,15.1,18.25,21.41,15.53,44,0,0,239830,0
1991-05-01,Central Coast,102.7,16.12,18.29,14.14,44,1,2,239830,0.83392403
1991-06-01,Central Coast,146.2,15.26,17.57,13.29,44,5,0,239830,0
1991-07-01,Central Coast,75.1,12.19,14.89,9.84,44,3,0,239830,0
1991-08-01,Central Coast,8.2,13.17,16.82,10.03,44,0,0,239830,0
1991-09-01,Central Coast,7.9,15.18,19.4,11.63,44,0,0,239830,0
1991-10-01,Central Coast,16.2,18.36,22.5,14.87,44,0,0,239830,0
1991-11-01,Central Coast,43.8,18.5,22.14,15.53,44,0,1,239830,0.416962015
1991-12-01,Central Coast,141.4,19.73,22.69,16.9,44,4,1,239830,0.416962015
1992-01-01,Central Coast,43.3,20.71,23.8,18.26,44,0,0,246896,0
1992-02-01,Central Coast,342.5,20.87,23.03,18.89,44,8,3,246896,1.215086514
1992-03-01,Central Coast,78.2,20.62,22.8,18.79,44,1,2,246896,0.810057676
1992-04-01,Central Coast,71.9,18.09,20.37,16.03,44,3,6,246896,2.430173028
1992-05-01,Central Coast,29.1,15.54,17.78,13.49,44,0,2,246896,0.810057676
1992-06-01,Central Coast,36.1,12.86,15.45,10.51,44,3,2,246896,0.810057676
1992-07-01,Central Coast,14.1,12.94,16.16,10.2,44,0,2,246896,0.810057676
1992-08-01,Central Coast,38.6,13.05,16.38,10.17,44,0,1,246896,0.405028838
1992-09-01,Central Coast,39.2,14.11,17.95,10.83,44,0,3,246896,1.215086514
1992-10-01,Central Coast,45.9,16.61,19.54,14.05,44,0,2,246896,0.810057676
1992-11-01,Central Coast,110.9,18,21.1,15.21,44,1,1,246896,0.405028838
1992-12-01,Central Coast,111.3,20.02,22.7,17.88,44,2,1,246896,0.405028838
1993-01-01,Central Coast,100.6,22.61,25.85,20.14,44,3,3,252438,1.18841062
1993-02-01,Central Coast,67.4,22.42,25.61,19.74,44,2,5,252438,1.980684366
1993-03-01,Central Coast,77.5,19.87,22.3,17.74,44,1,7,252438,2.772958112
1993-04-01,Central Coast,37.7,18.81,21.69,16.21,44,1,3,252438,1.18841062
1993-05-01,Central Coast,25.1,15.92,18.52,13.54,44,0,3,252438,1.18841062
1993-06-01,Central Coast,55.5,12.85,15.55,10.47,44,2,1,252438,0.396136873
1993-07-01,Central Coast,59,13.72,16.25,11.45,44,1,2,252438,0.792273746
1993-08-01,Central Coast,34.7,13.74,16.98,10.88,44,2,3,252438,1.18841062
1993-09-01,Central Coast,59.8,14.78,17.88,11.78,44,4,0,252438,0
1993-10-01,Central Coast,52.2,17.09,20.47,13.9,44,1,2,252438,0.792273746
1993-11-01,Central Coast,75.6,18.51,21.96,15.61,44,1,1,252438,0.396136873
1993-12-01,Central Coast,45,20.78,23.97,18.08,44,1,1,252438,0.396136873
1994-01-01,Central Coast,30.8,23.24,26.96,20.15,44,0,5,257564,1.941265084
1994-02-01,Central Coast,100,22.2,25.13,19.93,44,3,3,257564,1.16475905
1994-03-01,Central Coast,88.1,19.05,21.14,17.16,44,2,7,257564,2.717771117
1994-04-01,Central Coast,54.8,18.51,21.39,15.93,44,2,8,257564,3.106024134
1994-05-01,Central Coast,38.6,15.86,19.09,13.11,44,2,2,257564,0.776506033
1994-06-01,Central Coast,49.7,13.64,16.39,11.22,44,4,1,257564,0.388253017
1994-07-01,Central Coast,17.3,12.58,16.01,9.74,44,1,1,257564,0.388253017
1994-08-01,Central Coast,22.9,12.86,16.49,9.73,44,0,1,257564,0.388253017
1994-09-01,Central Coast,10.8,15.28,19.81,11.42,44,0,1,257564,0.388253017
1994-10-01,Central Coast,27.1,17.12,21.19,13.63,44,0,5,257564,1.941265084
1994-11-01,Central Coast,71.7,19.57,23.5,16.31,44,3,2,257564,0.776506033
1994-12-01,Central Coast,42.8,20.75,23.8,18.07,44,2,6,257564,2.3295181
1995-01-01,Central Coast,117.2,20.78,23.31,18.73,44,3,3,262585,1.142487195
1995-02-01,Central Coast,26.9,21.38,24.11,19.1,44,0,4,262585,1.523316259
1995-03-01,Central Coast,129.6,19.79,22.64,17.63,44,3,1,262585,0.380829065
1995-04-01,Central Coast,9.8,17.07,20.1,14.56,44,0,2,262585,0.76165813
1995-05-01,Central Coast,88.2,16.16,18.13,14.39,44,4,0,262585,0
1995-06-01,Central Coast,60,13.07,15.61,10.86,44,1,1,262585,0.380829065
1995-07-01,Central Coast,2.9,11.75,15.06,9.06,44,0,2,262585,0.76165813
1995-08-01,Central Coast,0.3,14.89,19.31,11.2,44,0,0,262585,0
1995-09-01,Central Coast,160.8,14.76,18.01,11.87,44,3,1,262585,0.380829065
1995-10-01,Central Coast,45.4,17.05,20.66,14.2,44,1,1,262585,0.380829065
1995-11-01,Central Coast,85.4,19.51,22.86,16.6,44,2,5,262585,1.904145324
